product_id,name,category,price
118,Today Second,Books,984.24
119,May Hit,Electronics,65.31
120,Save Perform,Books,342.61
121,Crime Less,Beauty,113.72
122,Report Both,Clothing,194.26
123,Course They,Toys,144.48
124,Hear Hundred,Clothing,282.15
125,Language Difficult,Clothing,875.11
126,My Drive,Electronics,445.92
127,Involve Budget,Beauty,856.69
128,Sort Former,Electronics,55.34
129,Candidate Man,Sports,836.85
130,Break Nature,Electronics,926.74
131,Century Mission,Beauty,240.2
132,Sound Herself,Toys,488.21
133,Sea Fight,Clothing,865.33
134,Onto Seven,Electronics,168.81
135,Amount Beautiful,Electronics,985.38
136,Generation Minute,Home,926.89
137,Business Image,Beauty,457.73
138,Federal Loss,Toys,698.11
139,Plan Simply,Books,995.45
140,Forget Right,Sports,663.56
141,Thought Life,Toys,159.02
142,Draw Once,Home,221.61
143,Involve Fill,Electronics,581.28
144,Top Later,Sports,65.65
145,Current Tough,Home,61.88
146,Available Want,Sports,479.4
147,Thought Suffer,Beauty,533.47
148,Maybe Wrong,Electronics,960.98
149,Respond Hold,Electronics,852.09
150,Country Add,Electronics,597.06
151,Represent Million,Books,862.51
152,Remember Book,Toys,124.29
153,Individual Left,Sports,249.98
154,Necessary Reason,Sports,44.54
155,Require Bed,Electronics,422.13
156,Call Character,Sports,567.4
157,Indicate Institution,Home,935.03
158,Run Performance,Clothing,671.38
159,Blue Site,Home,242.49
160,Wish Wait,Toys,135.22
161,Concern Attention,Books,303.5
162,Himself Decide,Home,929.37
163,Ground Deep,Electronics,14.27
164,Physical Three,Sports,998.46
165,International Can,Electronics,77.89
166,Early This,Clothing,508.36
167,Language Share,Clothing,933.59
168,Money Family,Electronics,879.87
169,Southern Sell,Home,288.56
170,Space Party,Toys,834.58
171,Personal Explain,Books,306.0
172,Something Strategy,Beauty,655.71
173,Suddenly Quickly,Electronics,669.52
174,Yes Instead,Sports,302.88
175,Heart Maybe,Books,108.07
176,Reflect Player,Clothing,268.14
177,Interview Memory,Electronics,743.7
178,Much Family,Clothing,275.99
179,Choice Special,Sports,214.58
180,Look Box,Home,207.58
181,Can Enough,Books,853.65
182,Might Modern,Sports,491.09
183,During Production,Beauty,55.54
184,Yes Center,Books,426.46
185,All Bit,Home,48.87
186,Sing Argue,Home,772.26
187,Then Author,Books,979.9
188,Moment Resource,Clothing,742.52
189,Agreement Country,Sports,707.14
190,Idea Point,Sports,14.62
191,Respond General,Electronics,945.33
192,Claim Floor,Books,904.41
193,Pretty Price,Sports,40.85
194,Big Soon,Home,584.6
195,Ball Recent,Clothing,432.64
196,Society Nature,Electronics,311.72
197,Speak Mind,Beauty,972.34
198,Structure Man,Electronics,899.43
199,Defense Finally,Clothing,683.66
200,Recently Modern,Books,107.28
